country,label,Lower_whisker,Upper_whisker,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Dystopia_+_residual
Slovenia,2,6.695,6.889,1.692,1.718,0.802,0.961,0.121,0.113,1.384
Somalia,0,4.203,4.49,0.535,0.877,0.046,0.916,0.206,0.192,1.575
Somaliland Region,1,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
South Africa,1,5.086,5.339,1.283,1.465,0.142,0.676,0.064,0.043,1.54
South Sudan,0,2.60568380355835,3.02751636505127,0.28908297419548,0.553278505802155,0.208809033036232,0.0656092539429665,0.20993460714817,0.111156798899174,1.37875127792358
Spain,2,6.385,6.547,1.69,1.685,0.894,0.734,0.112,0.18,1.17
Sri Lanka,0,3.78,4.001,1.271,1.308,0.567,0.696,0.121,0.025,-0.099
State of Palestine,0,4.675,4.886,1.047,1.456,0.521,0.618,0.055,0.081,1.368
Sudan,0,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
Suriname,2,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
Swaziland,0,4.168,4.448,0.849,0.693,0.074,0.323,0.067,0.147,2.155
Sweden,2,7.262,7.427,1.783,1.698,0.889,0.952,0.17,0.467,1.385
Switzerland,2,6.854,7.015,1.87,1.622,0.883,0.889,0.156,0.468,1.047
Syria,0,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
Taiwan Province of China,2,6.579,6.76,1.73,1.583,0.817,0.76,0.057,0.187,1.534
Tajikistan,1,5.337,5.485,0.914,1.555,0.658,0.599,0.085,0.342,1.823
Tanzania,0,3.661,3.938,0.847,0.908,0.411,0.858,0.153,0.243,0.38
Thailand,2,6.117,6.327,1.426,1.551,0.633,0.927,0.223,0.039,1.423
Togo,0,4.2,4.43,0.757,0.736,0.378,0.576,0.097,0.153,1.618
Trinidad and Tobago,1,5.651,6.159,1.549,1.532,0.419,0.76,0.111,0.001,1.533
Tunisia,0,4.47,4.633,1.257,1.224,0.459,0.382,0.032,0.05,1.149
Turkmenistan,1,5.371,5.578,1.484,1.319,0.516,0.649,0.314,0.032,1.16
Türkiye,1,5.178,5.347,1.582,1.444,0.626,0.244,0.04,0.104,1.223
Uganda,0,4.336,4.587,0.762,1.342,0.396,0.751,0.148,0.05,1.012
Ukraine,0,4.565,4.794,1.328,1.472,0.472,0.689,0.245,0.023,0.451
United Arab Emirates,2,6.673,6.846,1.812,1.294,0.659,0.934,0.165,0.235,1.66
United Kingdom,2,6.647,6.809,1.725,1.562,0.779,0.872,0.211,0.318,1.26
United States,2,6.629,6.82,1.839,1.614,0.604,0.644,0.171,0.161,1.69
Uruguay,2,6.578,6.743,1.554,1.654,0.523,0.913,0.078,0.197,1.741
Uzbekistan,2,6.088,6.297,1.179,1.615,0.654,0.977,0.195,0.208,1.364
Venezuela,1,5.57,5.796,0.0,1.493,0.515,0.702,0.154,0.117,2.701
Viet Nam,2,6.28,6.424,1.278,1.533,0.631,1.012,0.039,0.174,1.684
Yemen,0,3.408,3.714,0.631,1.482,0.375,0.447,0.066,0.106,0.454
Zambia,0,3.769,4.056,0.848,1.013,0.233,0.872,0.131,0.107,0.709
Zimbabwe,0,3.283,3.509,0.827,0.961,0.178,0.598,0.065,0.131,0.636
