label,BH,JC_count,JC_maxtime(min),TSG_JCday,TSG_JRtmmean,TSG_JRtmentropy,TSG_JRtmstd,TSG_JRmaxtime(min),TSG_CRtmmean,TSG_CRtmentropy,TSG_CRtmstd,breakfast_time_entropy,breakfast_time_mean,breakfast_time_mode,breakfast_time_range,breakfast_time_25_percentile,breakfast_time_max,breakfast_time_median,breakfast_time_std,dinner_time_entropy,dinner_time_mean,dinner_time_mode,dinner_time_range,dinner_time_25_percentile,dinner_time_max,dinner_time_median,dinner_time_std,lunch_time_entropy,lunch_time_mean,lunch_time_mode,lunch_time_range,lunch_time_25_percentile,lunch_time_max,lunch_time_median,lunch_time_std
0,CS0011532,0.051063829787234,0.0007436639828659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CS0011556,0.0063829787234042,0.0001041129576012,0.0,0.4880774962742176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CS0011723,0.1723404255319149,0.0195385317098322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7169240406097529,0.8526711185308848,0.7679465776293823,0.4827586206896552,0.8142737896494157,0.9782971619365608,0.832220367278798,0.3610829092450728,0.6670484857339477,0.8332003192338387,0.7988826815642458,0.385,0.8038707102952913,0.8249279538904899,0.8248204309656824,0.2470785436370507,0.8472966920990057,0.8381647549530761,0.748696558915537,0.6629526462395543,0.7552137643378519,0.9968717413972888,0.8289885297184567,0.4877747607056211
0,CS0011754,0.0085106382978723,0.0004263673501764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CS0011758,0.0085106382978723,0.1715880696466108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7612687813021702,0.7228714524207012,0.1762452107279693,0.7420701168614358,0.7996661101836394,0.7612687813021702,0.2200956937799043,0.0,0.8268156424581006,0.8140462889066241,0.0625,0.8232242617717478,0.7528818443804035,0.8324022346368715,0.0761507081565445,0.1598751546633879,0.7408254566248444,0.7309697601668405,0.6545961002785515,0.7294056308654849,0.948905109489051,0.7330552659019812,0.2181738367959436
0,CS0011764,0.0085106382978723,0.0071094276761987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7863105175292153,0.7863105175292153,0.0,0.7863105175292153,0.7863105175292153,0.7863105175292153,0.0,0.3656837268499612,0.8584729981378026,0.8180367118914605,0.375,0.8188347964884277,0.8465417867435159,0.819632881085395,0.4715744575380047,0.3902883346416467,0.7877997914494265,0.735140771637122,0.2813370473537604,0.7614702815432742,0.8404588112617309,0.7877997914494265,0.3960784313725489
0,CS0011779,0.1787234042553191,0.0016905961210486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49600266453843,0.9050268966796512,0.9148580968280468,0.6934865900383141,0.8823038397328882,0.969949916527546,0.9148580968280468,0.2389496525890101,0.5499495988681539,0.844413407821229,0.816440542697526,0.6125,0.8170391061452514,0.8933717579250721,0.8296089385474861,0.2959225671481628,0.7646650217994925,0.7670819384226991,0.7257559958289885,0.9025069637883008,0.7257559958289885,0.9666319082377476,0.7580813347236705,0.3655804821096152
0,CS0011798,0.1361702127659574,0.0285914012612541,0.119047619047619,0.4664679582712369,0.5777231223842502,0.3286982055601989,0.5124434389140271,0.5590841949778435,0.5159166364945887,0.3071524291106965,0.0,0.849193099610462,0.8280467445742905,0.1455938697318007,0.8280467445742905,0.8914858096828047,0.8280467445742905,0.148453923805041,0.8957587210032588,0.8766573127719283,0.8020750199521149,0.61,0.8220271348762969,0.8926512968299711,0.8770949720670391,0.4051227333044599,0.6504838217683774,0.7761162195468765,0.7132429614181439,0.4818941504178273,0.7244525547445255,0.8800834202294057,0.7747653806047967,0.2777621921817971
0,CS0011812,0.1191489361702127,0.001551778844247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7256041186163674,0.8413711853456466,0.8443735035913806,0.53,0.7845171588188348,0.8451008645533141,0.8443735035913806,0.4009142575891998,0.6764501689392883,0.8293013555787278,0.7153284671532847,0.6211699164345403,0.8107403545359749,0.9478623566214808,0.8368091762252347,0.3062584018523473
0,CS0011817,0.025531914893617,0.0010510450957839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
